termTitle,part-of-language,partOfDefinition
hosho?wa,(n),urine
hosho?wa shahli,(n),diabetes
hotilhko,(v),"to cough, have a cough or cold"
hotilhko,(n),a cough
hotina,(v),"to count, number, calculate, total"
hotonti,(n),frost
hottupa,(v),"to be hurt, be in pain, be sore, to hurt"
hottupa,(adj),"sore, painful"
hottupali,(v),"to hurt, injure, wound (someone)"
howa,(v),to call out to (someone)
howeta,(v),to vomit
howeta b?nna,(v),to need to vomit
hoyo,(v),"to search for, look for (something), seek, hunt for"
hulhpokna,(n),a dream
hush b?lbaha,(n),mockingbird
hushi,(n),bird
hushi apes?chi,(n),bird watcher
hushi hishi,(n),bird feather
hushmi,(v),"to burn slowly, smolder, sear (older word)"
hu?ssa,(v),"to shoot (a gun, an arrow), shoot at (a target)"
hussi,(v),"to pound, beat (dried corn in a mortar)"
hussi,(adj),pounded (of corn)
hu?wa,(v),"to smell, sniff (food, etc.)"
h?bishko,(v),to sneeze
h?cha,(n),river (older term)
h?chi,,"a marker appearing before a verb and meaning ?you (plural)’, ‘you all’"
h?chik,,second person plural negative marker appearing before a verb: ‘you (plural) (do not)’
h?chik,(n),"a satchel, small bag, piece of luggage"
h?chim,,a possessive marker appearing before a noun and meaning ?your (plural)’
h?chimmi,(pro),(all of) yours (used in speaking to more than one person)
h?chishno,(pro),"you (plural), you all"
h?chishno ak kia,(pro),"you (plural) too, you (plural) also"
h?chonchoba,(n),alligator
h?hli,(v),"to kick, kick out (the leg), stamp, kick more than once (of a baby in the womb)"
h?lahli,(v),"to twitch (of the eye, etc.), jerk, have a spasm"
h?lambisha,(n),bat (the animal)
h?lba,(n),"firefly, lightning bug"
h?lbina,(n),"a gift, present"
h?lb?bi,(adj),"crusted, matted (of infected eyes)"
h?llu?s,(n),leech
h?nn?no?ki,(v),"to spin around (of a child, etc.), whirl around"
h?pi,,a marker appearing before a verb and meaning ?all of us’ or ?we all’
h?pi,(n),salt
h?pi ai?lhto,(n),"salt container, salt shaker"
h?pi champuli,(n),sugar
h?pi champuli ai?lhto,(n),"sugar container, sugar bowl"
h?pi champuli isht abeka,(n),diabetes (new word)
h?pi champuli tohbi,(n),white sugar
h?pi homi,(adj),salty
h?pi homi,(v),to be salty
h?pi isht homichi,(v),"to add salt, season"
h?pi oka,(n),"salt water, brine solution"
h?pi oka ittib?lhto,(n),"salt and water mixture, brine"
h?pi y?mmi,(adj),salted (of meat)
h?pi y?mmichi,(v),to salt (meat)
h?pim,,"a possessive marker appearing before a noun and meaning ?our’, ?belonging to all of us’"
h?pimmi,(n),"all of ours, belonging to all of us"
h?pishno,(n),all of us
h?pullo,(n),"buttocks, rump, butt"
h?sh,,"a marker meaning ?you (plural)’, ‘you all’ appearing before a verb"
h?shaya,(v),"to have hurt feelings, be a little mad, upset, miffed, sulky, pouty"
h?shi,(n),sun
h?shi aiok?ttula,(n),"west, where the sun goes down"
h?shi aiok?ttulaka,(n),"the west, westward"
h?shi akuch?ka,(n),"the east, where the sun rises"
h?shi himma kash,(adv),
h?shi kucha,(n),sunrise
h?shi k?n?lli,(n),time
h?shi k?n?lli isht ikh?na,(n),"clock, watch"
h?shi ninak a?ya,(n),moon
h?shi ninak a?ya alota,(n),a full moon
h?shi ninak a?ya bolukta,(n),a full moon
h?shi ninak a?ya himona,(n),a new moon
h?shi ninak a?ya ikl?nna,(n),a half moon
h?shi ninak tohwikeli,(n),moonlight
h?shi ok?ttula,(n),sunset
h?shi tomi,(n),"sunshine, sunlight"
h?shtula,(n),winter
h?shtulahpi,(n),"fall, autumn"
h?sht?p,(n),"fallen leaves, dead leaves"
h?shuk,(n),"grass, hay"
h?shuk ai?lmo,(n),hay field
h?shuk isht piha,(n),"pitchfork, rake"
h?simbish,(n),tail
h?simbish t?pa,(n),a bobbed tail
h?ta,(v),"to be pale (of a person, color, etc.), faded (of a dress, etc.), bleached, off-white, gray"
h?ta,(adj),"pale, faded, off-white, gray"
h?ta?ffo,(n),hail
h?tambish,(n),"navel, belly button"
h?tapushik,(n),
h?tip,(n),hip
h?tomb?laha,(n),
h?tonlakna,(adj),"brown colored, having a scorched color"
,,
i? balili,(v),(one) to run from
i? champuli,(v),to like (a food)
i? haiaka,(v),to appear to (someone)
i? haklo,(v),"to mind (someone), obey, heed, yield, comply"
i? haleli,(v),to catch (a cold) from (someone)
i? hattak,(n),her husband
i? hiki?a,(v),"to have (one thing that is standing, as a car, television, animal, etc.), own"
i? hinli,(v),"to have (two things that are standing, as cars, televisions, animals, etc.), own"
i? hiohma?ya,(v),"to have (three or more things that are standing, as cars, televisions, animals, etc.), own"
i? hl?kuffi,(v),"to miss (a target, bus, etc.)"
i? holissochi,(v),to write to (someone)
i? hopaki,(v),"to be far for (someone), from (something)"
i? hullo,(v),to love (someone)
i? hullo,(n),love
i? kanomi,(n),"his/her relative, kinfolk"
i? kashuffi,(v),to clean (something) for (someone)
i? kash?bli,(v),to share with (someone)
i? kunta,(v),to whistle at (someone)
i? k?nia,(v),to have lost (one thing)
i? k?n?lli,(v),"to move away from (a place, person, etc.)"
i? lawa,(v),"to have a lot of (something), many (shoes, etc.), plenty, much"
i? ma?ya,(v),"to have (two or more living things, as children, animals, etc.)"
i? mishihma,(v),to be a little farther away for (someone)
i? mokofa,(v),to lose the grip on (something)
i? m?hlata,(v),"to be scared of, afraid of (older word)"
i? nukha?klo,(v),"to feel sorry for (someone), have compassion or mercy for"
i? nukkilli,(v),to hate (someone)
i? nukoa,(v),"to be angry at, scold (someone)"
i? pa?ya,(v),to call out to (someone)
i? pota,(v),to lend (something) to (someone)
i? p?lata,(v),"to miss (someone), be lonesome for (someone)"
i? p?llata,(v),to really miss
i? p?l?mmi,(v),"to be in pain, in need, suffering severely"
i? sanali,(v),"to oppose, be against (someone), rebel against"
i? shahli,(v),to be more (of a condition)
i? sh?lihchi,(v),"to do more than, greater than, progress"
i? su?ksowa,(v),to kiss (someone) (older word)
i? tahp?la,(v),"to yell out to (someone), shout to, call out to"
i? talali,(v),"to place (one) before, set out for, serve to (someone)"
i? tala?ya,(v),"to have (one thing that is setting, like a plate, cup, food, land)"
i? talo?ha,(v),"to have (two things that are setting, like plates, cups, etc.)"
i? talohma?ya,(v),"to have (three or more things that can sit, like plates, cups, etc.)"
i? tamoa,(v),"to have lost (two or more pencils, loved ones, etc.)"
i? tek,(n),"his sister (traditionally used for the sister of a man, but now used for the sister of a man or woman)"
i? tib?lli,(v),"to miss (a target, bus, etc.)"
i? weli,(v),"to offer to (someone), hand to, pass to (someone)"
i? yakoke,(v),to give thanks to (someone)
i? yimmi,(v),to believe (someone)
i? yukpa,(v),"to smile at, laugh at (someone)"
ia,(v),(one) to go
iakaya,(v),"to follow, pursue (deer tracks, a person, etc.)"
iaka?ya,(v),"to be next, come after, in a position following"
iaka?ya,(n),a follower
iba,,a marker appearing before a verb and meaning ?with (someone)’
iba chukkowa,(v),"to enter, go in (an elevator with someone in it, a house, etc.), invade (someone’s purse, personal space, business, etc.), intrude"
iba fokka,(v),to join (a group)
iba fokki,(v),to add (one) to (something)
iba takl?t a?ya,(v),"to be with another person among, in the midst of (a group), in the presence of, hanging around with"
iba taloa,(v),to sing with (someone)
ibai ach?ffa,(v),to be in agreement with (someone)
ibai impa,(v),to eat with (someone)
ibaiyi,(n),nephew
ibani,(v),"to add (spices, etc.) to, put in (from )"
ibbak,(n),hand
ibbak afabi,(n),the left hand
ibbak afabi imma,(adv),toward the left
ibbak fokka,(n),glove
ibbak i? shu?k?ni,(n),"elbow, funny bone"
ibbak ishki,(n),thumb
ibbak isht impak imma,(n),the right hand
ibbak pahta,(n),palm of the hand
ibbak pakna,(n),back of the hand
ibbak ushi,(n),finger
ibbak ushi fokka,(n),"a ring (for a finger), thimble"
ibbak ?ska,(n),wrist
ibbakchush,(n),fingernail
ibet?bli,(v),"to stumble, trip"
ibet?blichi,(v),"to make (someone) stumble (physically, emotionally, or spiritually), trip (someone)"
ibihtek,(n),niece
ibikoa,(v),to have a nose bleed
ibikoli,(v),to give (someone) a nose bleed
ibishakni,(n),"nose, snout, trunk, bill or beak (of a bird)"
ibishakni chiluk,(n),nostril
ibishakni ho?kli,(v),to be holding the nose
ibishakni l?pa,(v),to have a stopped up nose
ibish?no,(v),"to have a cold, have runny nose"
ibish?no,(n),"a cold, a runny nose"
ibitakla,(n),forehead
ib?lhto,(v),"(two or more) to be added, get among, mingle with, mix with"
ichabli,(v),"to mate, match"
ichapa,(v),"to argue with (someone), contradict, debate, oppose, resist"
ichapa,(n),"its mate (of a shoe, etc.), its match, a pair"
iffiopa,(n),breath
iffoka,(n),internal organ (in the body)
iffoka balili,(n),high blood pressure
iffoka hottupa,(n),stomach-ache
iha??,(interj),was that right? (derived from )
ihi?sso,(v),"to keep hitting, hit continuously"
i?hiya,(v),"to be scolded, reprimanded (includes the nasal marker :  ‘I was scolded’,  ‘you were scolded’, etc.)"
iho??,(interj),is that so? is that right? (from )
ik,,negative marker appearing before a verb: ‘not’ or ‘do not’
ik ab?nno,(adj),"unwanted, unneeded"
ik achukmo,(v),"to be bad, not good, useless"
ik a?hlo,(v),"to be false, not true"
ik ahobo,(adj),"weakened, fatigued, fragile"
ik aiokpacho,(v),"to dislike (someone), hate (something)"
ik aiuklo,(adj),"ugly, not pretty, not handsome"
ik aiyobo,(v),"to be not good, not excellent, not well"
ik anumpolo,(v),"to not speak, be mute"
ik anumpolo,(n),someone who does not speak or is mute
ik champolo,(v),"to taste bad, taste awful, not be sweet"
ik haiako,(v),"to not be visible, not be apparent"
ik haklo,(v),"to not hear, not be able to hear, be hard of hearing, deaf"
ik haluppo,(v),"to be dull, not sharp"
ik haponaklo imoma,(v),to be deaf
ik hlampko,(v),"to not be strong, not be forceful, not be stout"
ik hofobo,(adj),"shallow, not deep"
ik ikhano,(v),to not know
ik im achukmo,(v),to not be well (physically or emotionally)
ik im iksho,(v),"to not have (money, a pen, wisdom, a wife, etc.)"
ik im isso,(v),"to not permit (something), refuse"
ik im ono,(v),to not have enough
ik imponno,(adj),unskilled
ik k?llo,(v),to not be hard
ik k?llo,(adj),not hard
ik lauwo,(v),to be unequal
ik lawo,(v),"to be few, not many"
ik nono,(v),"to be rare, not cooked, not done (of food)"
ik nukshopo,(v),to not be afraid
ik peso,(v),"to not see, be blind"
ik p?tho,(adj),"narrow, not wide"
ik ?lhpeso,(v),"to be unreasonable, inappropriate, unfitting, unsuitable, improper, wrong"
ik ?lhpeso,(adj),"improper, wrong, inappropriate"
ik weko,(v),"to be light, not heavy, not burdensome"
ik yimmo,(v),"to not believe (something), doubt"
ik yimmo,(n),a non-believer
i?kana,(v),"to be nice, kind, supportive, friendly to (someone)"
i?kana,(n),"friend (includes the nasal marker :  ‘my friend’,  ‘your friend’,  ‘his/her friend’,  ‘our friend’,  ‘your (plural) friend’, etc.)"
i?kana achukma,(n),a friendly person
ikbi,(v),"to make (food, a toy, crafts), build (something)"
ikhaiyana,(v),"to remember, recollect"
ikha?na,(v),to know (someone or something)
ikh?na,(v),"to learn, acquire knowledge"
ikh?nachi,(v),"to teach (someone), inform, educate"
ikh?nanchi,(n),"teacher, instructor, facilitator, trainer"
i?ki,(n),"father, his/her father"
i?ki ishki ittatuklo,(n),"parents, father and mother"
i?ki toba,(n),step-father
ikkishi,(n),his/her chest
ikl?na?ka,(n),"in the middle, in the midst"
ikl?nna,(n),"the middle, center, midway, halfway"
ikl?nn?chi,(v),to divide in half
i?kolombish,(n),"his/her throat (older word, includes the nasal marker -:  ‘my throat’,  ‘your throat’, etc.)"
i?koloppi,(n),"his/her windpipe (older word, includes the nasal marker -:  ‘my windpipe’,  ‘your windpipe’, etc.)"
ikonla,(n),"neck, throat"
ikonla isht t?llakchi,(n),a necktie
ikonla sh?tali,(n),"mumps, swollen neck"
ikonl?pi,(n),"trunk of the neck, bottom portion of neck"
iksa,(n),clan
iksa apel?chi ?lhtoka,(n),"elder of the church, deacon, elected officer in the church"
iksa pehlichi,(n),"an elder, pastor, missionary, deacon"
iksho,(v),"for there to be none, to be gone, absent, not present"
ikshochi,(v),to make
iksitopo,(v),"to be handicapped (physically or mentally), crippled, etc."
iksitopo,(adj),"handicapped, crippled, lame, feeble, etc."
i?k?nihmi,(v),"to be doing better (after an illness), feel better (includes the nasal marker -:  ‘I’m doing better’,  ‘you’re doing better’, etc.)"
il,,a marker meaning ?we’ appearing before a verb
ila chowa,(v),to complain (usually about oneself)
ila ?hlichi,(v),"to play sick, act helpless"
ilahobbi,(v),"to pretend, try, attempt"
ilahobbi,(n),a hypocrite
ilai anoli,(v),"to admit, confess"
ilaiyuka,(adj),"all different, various, diverse"
ilap,(pro),"himself, herself, one’s own, his, her, hers, theirs"
ilap ak kia,(pro),"even he himself, even she herself"
ilap akinlit,(adv),"by oneself, alone"
ilap bano,,"by himself, by herself, single, unattended, lonely"
ilatoba,(v),to save
ilatomba,(v),"to be saving (money, food, etc.), preserving, economizing, reserving"
ilaueli,(v),"to take (someone) along, lead along, govern, conduct, guide"
ilauet,(adv),along with (one)
ilauet a?ya,(v),"to go with (someone), accompany, travel with"
ilauweli,(v),"to date, go together with (someone), accompany, pair off with"
ilauweli,(n),"a companion, guardian, guide"
ilb?sha,(v),"to mourn, suffer (from poverty, illness, loneliness, etc.)"
ilb?sha,(adj),"poor, wretched, miserable, destitute, troubled, depressed, distressed, degraded"
ilb?shachi,(v),"to punish, torment, bully, afflict"
ilb?shachi,(n),"a punisher, tormentor, oppressor"
ilb?shali,(v),"to punish (someone), be cruel to, torment, bully"
ilb?shalichi,(v),to cause (someone) to suffer
ile,,a marker appearing before a verb and indicating action done to oneself
ile fehn?chi,(v),"to be proud, arrogant, showing off"
ile fehn?chi,(adj),"prideful, arrogant, condescending, self-important, having high esteem for oneself"
ile pisa,(v),"to look at oneself (in a mirror, etc.), examine oneself, evaluate oneself"
ile tahtoli,(v),to dust oneself off
ile yimmi,(v),"to be conceited, arrogant"
ile yimmi,(n),"pride, arrogance, self-confidence"
ilebi,(v),to commit suicide
ilebi,(n),suicide
ilefokka,(n),"clothes, clothing"
ilefokka aiachefa,(n),"place where clothes are washed: washing machine, laundry, cleaners, etc."
ilefokka alata,(n),"overcoat, lining or layer of clothing"
ilefokka ashileli,(n),a clothes dryer
ilefokka lumbo,(n),"shirt, jacket, coat"
ilefokka lumbo falaya,(n),"overcoat, full-length coat"
ilefokka t?pa,(n),"shirt, blouse, t-shirt"
ilefokka yushkololi,(n),"jacket, sweater, vest"
ilhkoli,(v),"to be moving around repeatedly, be in motion, be moving (of a baby in the womb or of the ground)"
ilhkoli,(v),(three or more) to go
ilhkolichi,(v),"to move (someone, as to wake them up)"
ilhpak,(n),"daily bread, food, spiritual food, meal"
ilhpita,(n),"per capita payment, dividend, annuities (allowance, grant, stipend, etc.), monthly payment, a gift, donation, ration"
ilhtaloak,(n),"song (older term), a note in music"
illa,,"only, merely"
illa? hu?si,(v),"to be close to death, about to die"
illi,(v),"to be dead, deceased"
illi,(adj),"dead, deceased"
illi aiasha,(n),"morgue, funeral home"
illi shali,(n),a hearse
illichi,(v),"to numb, deaden (an area for surgery), paralyze"
illimpa,(n),"food, meal"
il?ppa,(Demonstrative),"this, these"
il?ppak kia,(Demonstrative),"this, too; this, also"
il?ppak o?,(adv),"here, in this place, at this place, from this, of this"
im,,"a possessive marker appearing before a noun and meaning ?his’, ?her’, or ?their’"
im ab?chi,(v),"to teach, demonstrate, practice"
im achaya,(v),"to grow accustomed to (a place or person), get used to, become familiar with, bonded with"
im achi,(v),to say to (someone)
im achukma,(v),"to feel good, be well"
im ahchiba,(v),"to be tired of (something), bored with, annoyed with"
im ahoba,(v),"to seem, look, appear to (someone)"
im ah?llaia,(v),"to be interested in, concerned about"
im aiyukoma,(v),"to be disoriented, bewildered, can’t remember"
im anoli,(v),to tell (someone)
im antta,(v),"to have (one living thing, as an animal, sister, etc.)"
im anukfila,(n),"his/her mind, idea, thoughts, opinion"
im anukfila ik ono,(v),"to be mentally disabled, disoriented, confused"
im anukfila iksho,(v),"to be out of one’s mind, foolish, absent minded"
im anukfila k?nia,(v),"to be confused, have lost one’s mind, have amnesia"
im anukfil?t okpulo,(v),"to be broken hearted, depressed"
im anumpa ima,(v),"to promise (someone), give one’s word to (someone)"
im apota,(v),to borrow from (someone)
im a?sha,(v),"to have (three or more things, as animals, dishes, etc.)"
im ashaka,(n),"his/her behind, posterior"
im a?shwa,(v),"to have (two things, as animals, sisters, etc.)"
im asilhha,(v),to ask (someone)
im atobbi,(v),"to pay to (someone), pay for (someone)"
im illi,(v),to lose (in a game)
im intakobi,(v),tired of doing things for
im issa,(v),"to let, allow, offer, grant, permitting"
im ittim aiyukoma,(v),"to be confused, mixed up"
im ittula,(v),to drop accidentally
im ohoyo,(n),"his/her woman, wife, girlfriend"
im okpulo,(v),"to be injured, hurt"
im okt?ni,(v),"to be revealed to (someone), appear to"
im ol?bi,(v),"to correct (someone), reprimand, rebuke"
im ona,(v),to have enough
im ?bi,(v),"to defeat, overcome"
im ?hli,(v),"to be worn out, at one’s end, have reached one’s limit"
im ?lhpesa,(v),"to be comfortable, feeling well"
im ?lhtaha,(v),"to be ready, prepared"
im ?lhtoba,(v),to be paid
im ?lla nakni,(n),"his/her son, boy"
im ?lla toba,(v),"to become (someone’s) child, to be adopted or a step-child"
ima,(v),"to give, present (something) to (someone)"
imafo,(n),"a grandfather, his/her grandfather, great-grandfather (includes the nasal marker :  ‘my grandfather’,  ‘your grandfather’,  ‘his/her grandfather’, etc.)"
imahwa,(v),"to imagine, presume, guess, suspect, suppose (includes the nasal marker -:  ‘I imagine’,  ‘you imagine’, etc.)"
imaiya,(v),"to surpass, outdo (someone), exceed, defeat, overpower, conquer, have overcome, have prevailed, be greater than, be superior (includes the nasal marker -:  ‘he/she surpassed me’,  ‘he/she surpassed you’, etc.)"
imaiy?chi,(v),"to surpass, defeat (someone), beat (includes the nasal marker -)"
imalakusi,(n),his/her sister’s husband (includes the nasal marker -)
imal?k,(n),"his/her brother-in-law (includes the nasal marker -:  ‘my brother-in-law’,  ‘your brother-in-law’, etc.)"
imal?kusi ohoyo,(n),his/her sister-in-law
imbatia,(v),"to obey, heed, mind (someone), go along with (includes the nasal marker -:  ‘he/she is obeying me’,  ‘he/she is obeying you’, etc.)"
imihaksi,(v),"to forget, have a lapse in memory (includes the nasal marker -:  ‘I forget’, , ‘you forget’, etc.)"
imma,,"toward (a place), in the direction of"
immi,(pro),"his, hers, theirs"
immi ikbit ishi,(v),"to make (a child, etc.) one’s own, adopt"
imoma,(adj),"natural, born that way"
imo?ma,(n),"his/her characteristic, trait, habit"
imomaka,(n),experience
imom?chi,(v),"to get used to (an activity, etc.)"
imosana,(n),"the forehead, his/her forehead (includes the nasal prefix -:  ‘my forehead’,  ‘your forehead’, etc.)"
imosana hishi,(n),"eyebrows, his/her eyebrows"
impa,(v),"to eat a meal, dine"
impa,(n),"a meal, food"
impa chito,(n),"party, feast, banquet"
imponna,(adj),"skillful, skilled, smart (at something) (includes the nasal marker -)"
imponna,(v),"to be skilled (at anything), talented, good, smart (includes the nasal marker :  ‘I am skillful’,  ‘you are skillful’,  ‘he/she is skillful’,  ‘we are skillful’,  ‘you all are skillful’)"
impu?ssa,(v),"to kiss (someone) (used in the Bible) (includes the nasal marker -:  ‘he/she is kissing me’, etc.’)"
im?nni,(n),"his/her older sibling (possibly of the same sex) (includes the nasal marker -:  ‘my older sibling’, etc.)"
inchunli,(v),"to mark, brand (cattle, etc.), stamp, tattoo, imprint (something)"
inchu?wa,(v),"to be marked, branded, tattooed"
inchu?w?chi,(v),"to mark (a paper, etc.)"
inla,(adj),"different, other, strange, odd"
inl?chi,(v),"to change (a word, etc.), make it different, restore, rebuild"
innuchechi,(v),"to put (a necklace, etc.) around (another’s) neck"
innuchi,(v),"to put on (a tie, necklace, something around the neck)"
innuchi,(n),"something worn around the neck: a cowbell, necklace, collar, neckerchief, bandana, scarf, tie, etc."
innunchi,(v),"to be wearing (a tie, etc.) around the neck"
inn?li foni,(n),"his/her/its backbone (includes the nasal prefix -:  ‘my backbone’, etc.)"
inta,(interj),"now, well, okay (older word)"
intakobi,(v),to be lazy (as in tired or weary)
intakobi,(adj),lazy
ipeta,(v),to feed (someone)
ipi?shik,(n),"breast, teat, udder"
ipohchi,(n),father-in-law
ipohchi ohoyo,(n),mother-in-law
ipok,(n),grandchild
ipok nakni,(n),grandson
ipok ohoyo,(n),daughter-in-law
ipok tek,(n),granddaughter
ipok ?lla,(n),grandchild
ippokni,(n),"a grandmother, his/her grandmother"
ish,,a marker meaning ?you’ appearing before a verb and used with actions done deliberately
ishi,(v),"to get, accept, take, pick (something) up, receive, obtain"
i?shi,(v),"to have (money, a pen, a sickness, etc.)"
ishki,(n),mother
ishki toba,(n),step-mother
ishko,(v),to drink (a liquid)
ishkot pisa,(v),"to taste (a drink), take a sip of (to taste)"
ishk?nn?pa,(v),to have an accident
ishk?nn?pa,(n),accident
ishn?l?p,(n),Adam’s apple
isht,,a marker appearing before a verb and meaning ?with (a tool or person)’ or ?about (a topic)’
isht abeka,(v),to be sick with (an illness)
isht abeka,(n),"a disease, sickness, cause of a sickness, infection"
isht aboli,(n),stickball (the game)
isht achefa,(n),what you wash with: a washcloth
isht afacha,(n),"a lock, fastener, latch"
isht ahantta,(v),"(one) to keep practicing (something), continue doing, keep on doing"
isht ahchifa,(n),soap
isht ahullo,(n),witchcraft
isht ah?llaia kiyo,(v),to be unconcerned about (something)
isht aiyopi,(adj),last (of a group or series)
isht akmuchi,(n),glue
isht anukfilli,(v),"to think about, consider, deliberate"
isht anumpuli,(v),"to talk about (something or someone), discuss"
isht apesa,(n),"a tool for measuring: measuring stick, ruler, measuring tape, thermometer, speedometer, etc."
isht ashana,(n),"lock, screw"
isht ash?nnichi,(n),"key, screwdriver"
isht atablichi,(n),"button, fastener (such as a hook and eye)"
isht atakl?ma,(v),to be hindered by
isht atapa,(n),"button, fastener (such as a hook and eye)"
isht atiaka,(n),descendant (in the Bible)
isht a?ya,(v),"to go along with (someone or something), travel with, carry, drive (a car), herd (animals)"
isht bihlibli,(n),"a pointer, something to point with"
isht biteli,(n),"a head scarf, bandana"
isht boa,(n),"hammer, mallet"
isht bohpuli,(n),a slingshot
isht b?lam?chi,(n),"flavoring, perfume, spices, herbs"
isht b?sha,(n),a saw
isht chakkali,(num),ninth
isht champulechi,(n),"sweetener, sugar substitute"
isht chikki?ha,(n),"a poker (for a fire), any object to poke with"
isht chompa,(n),"funds, purchase money, means of making a purchase"
isht habli,(n),"what someone steps with: sole of the shoe or foot, brake or gas pedal, etc."
isht haklo,(n),"something to hear with: hearing aid, earphones, etc."
isht hal?sbichi,(n),an iron
isht hannali,(num),sixth
isht holhtina,(n),"something to count with: calculator, computer"
isht holissochi,(n),"something to write with: a pen, pencil, etc."
isht holmo,(n),"roof, shingles, covering"
isht i? kana,(n),grace (in the Bible)
isht i? nukha?klo,(n),"mercy, compassion, charity (in the Bible)"
isht ia,(v),"(one) to take along, carry, go with (something)"
isht ihi?ya,(v),to keep taking
isht ilawata,(v),"to be proud, boastful"
isht ilekashochi,(n),"hand towel, towel"
isht illi,(n),"cause of death (poison, venom, virus, etc.)"
isht illichi,(v),"to numb with, deaden with"
isht impa,(n),"what you eat with: utensil, spoon, etc."
isht impak imma,(adv),toward the right
isht impushi,(n),"small spoon, teaspoon"
isht inchunli,(v),"to mark with (a pen, etc.), brand (cattle, etc.) with, stamp with, etc."
isht inchu?wa,(n),"something to mark with: a marker, felt pen, chalk, colored pencil, crayon, branding iron, seal, rubber stamp, etc."
isht ishko,(n),"a drinking vessel: cup, drinking glass, tumbler, etc."
Isht Ishko Chito,(n),"the Big Dipper, Ursa Major"
isht iskuff?chi,(n),belt
isht kashochi,(v),"to wipe with (a towel, etc.)"
isht kashochi,(n),"a towel, tissue, etc. (cloth or paper)"
isht kula,(n),"a tool for digging: a pick, shovel, auger, posthole digger, chisel, etc."
isht k?chaya,(n),"shears, scissors"
isht k?lasha,(n),"scissors, shears"
isht k?llichi,(n),a rake
isht mihlofa,(n),"a file (tool), rasp, scraper"
isht minti,(v),to be coming with
isht miti!,(v),"bring it, come with it!"
isht m?hlochi,(n),
isht nuktihlili,(n),mountain mint
isht nusichi,(n),"something causing sleep, such as an anesthetic"
isht n?hli,(n),a stinger (of a wasp or bee)
isht n?n?bli,(n),Adam’s apple
isht ochi,(n),"any vessel used to take up water: bucket, pail, water pot, etc."
isht ollulhti,(n),"something to start a fire with: firewood, kindling, etc."
isht ompohulmo,(n),"a lid, cover"
isht ona,(v),"(one) to carry to, bring to, arrive with"
isht onohchi,(v),to charge (someone) with (a crime)
isht pa?shpoa,(n),broom
isht piha,(n),"a shovel, scoop"
isht pu?fa,(n),"an instrument to blow with: a trumpet, horn, bugle, etc."
isht shema,(n),"decorations, jewelry, finery"
isht sh?t?mmichi,(n),"a leavening agent: baking powder, baking soda, yeast, etc."
isht tahlapi,(num),fifth
isht takafa,(n),"cup, dipper, ladle, large serving spoon"
Isht Takafa Chito,(n),
isht tak?ffi,(v),"to dip with (a cup, etc.)"
isht tikeli,(n),"a brace, prop"
isht tiwa,(n),a key
isht toks?li,(n),"something to work with: a tool, instrument, machine, etc."
isht t?llakchi,(n),"something to tie with: string, twist tie, leash, lace, etc."
isht untuchina,(num),eighth
isht untuklo,(num),seventh
isht ?la,(v),"(one) to bring, arrive with"
isht ?lhk?ma,(n),"a stopper, cork, plug"
isht ?lhpisa,(n),"something to measure with: tape measure, ruler, measuring cup, stethoscope, etc."
isht ?tta,(n),"a worker (of any kind, such as a manager, attorney, adminstrator, etc.)"
isht wichali,(v),"to be tangled (of hair, etc.)"
isht woh?chi,(n),"the horn (on a car, etc.)"
isht yopula,(v),to
isht yuha,(n),"sifter (traditional cane basket for sifting corn), sieve"
ishtia,(v),"to begin, start (to do something)"
iski?fa,(n),axe
iski?fushi,(n),hatchet
iskitini,(n),horned owl
iskitini,(v),"to be a small amount, a little bit, puny"
iskitini,(adj),small
iskuff?chi,(v),to put around the waist
iskuna,(n),"intestines, entrails, guts"
isk?li,(n),"money (from , an ancient French coin)"
isk?li apota,(n),"a lender: a bank, mortgage company, etc."
isk?li boshulli,(n),"change, coins"
isk?li i? shukcha,(n),"purse, coin purse"
isk?li ik ono,(n),a dime
isk?li sholi,(n),treasurer
isk?li tuklo,(n),"one quarter (the coin), two bits"
iso,(n),child (in the Bible)
issa,(v),"to quit, stop, cease, abandon, discontinue, halt, pause, leave"
issapuntak,(n),mosquito
issi,(n),deer
issi chito,(n),elk
issi i? takkon,(n),a type of wild plum
issi kosoma,(n),goat
issi kosoma naknushi,(n),male baby goat
issi kosoma pishukchi,(n),goat milk
issi kosoma ushi,(n),kid (baby goat)
issi nakni,(n),"buck, stag"
issi nipi,(n),"deer meat, venison"
issi tek,(n),doe
issish,(n),blood
issish balili,(n),blood pressure
issish bano,(v),to be bloody
issish bieka,(v),to be bloody
issish walaha,(n),blood clot
issito,(n),pumpkin
issito ?lw?sha,(n),fried pumpkin
issitushi,(n),squash
isso,(v),to hit (someone or something)
issot akka pila,(v),to hit and knock down
issuba,(n),horse
issuba basoa,(n),zebra
issuba haksobish falaya,(n),"mule, donkey"
issuba hob?k,(n),gelding
issuba ishki,(n),"a mare, old mare"
issuba isht k?pali,(n),bridle bit
issuba k?pali,(n),"horse bridle, bit"
issuba nakni,(n),stallion
issuba tek,(n),mare
issubushi,(n),"colt, foal"
issushi,(n),"fawn, young deer"
iss?chi,(v),"to terminate, fire, discharge (someone)"
iss?p,(n),lice
iss?t ia,(v),"(one) to stop and leave, quit and leave (a task, work, etc.)"
isunl?sh,(n),tongue
itakpashali,(v),"to open the  mouth, have the mouth wide open"
iti,(n),tree
